,EIN,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
Doyon Foundation,94-3089624,,,,,5553.0,5705.0,5475.0,5375.48,5375.0,4000.0,3275.0,34758.48
Eagle River Nature Center,92-0156981,,,,,,,5100.0,7800.0,7869.0,6900.0,7450.0,35119.0
Easterseals,92-0018031,,,,,,425.0,,350.0,675.0,,,1450.0
Equine Assisted Therapy Alaska,92-0176932,,,,2500.0,,1825.0,,3925.0,3297.0,2725.0,1175.0,15447.0
Eyak Preservation Council,68-0424723,,,,,,,,,,200.0,275.0,475.0
Facing Foster Care in Alaska,74-3099527,,,,,,5050.0,7450.0,9425.0,,4850.0,7775.0,34550.0
Fairbanks Animal Shelter Fund,73-1628436,,5050.0,10225.0,15325.0,22050.0,24200.0,25839.27,31225.0,29850.0,25550.0,27675.0,216989.27
Fairbanks Arts Association,92-6003435,,,1675.0,,,,,,2147.0,1450.0,1675.0,6947.0
Fairbanks Childrens Museum,26-4095584,,,,,,,,,5772.0,4400.0,4600.0,14772.0
Fairbanks Community Band,92-0155965,,,,,825.0,1300.0,1100.0,1250.0,575.0,400.0,375.0,5825.0
Fairbanks Community Food Bank Service Inc,92-0088266,,10225.0,15975.0,,19956.0,27950.0,25725.0,31600.0,26947.0,23850.0,23275.0,205503.0
Fairbanks Concert Association,92-0094139,,525.0,,,,,,,1000.0,1050.0,750.0,3325.0
Fairbanks Dog Park Inc,71-0889945,,,1500.0,2800.0,2400.0,2550.0,2850.0,2825.0,,1250.0,1150.0,17325.0
Fairbanks Drama Association and Fairbanks Childrens Theatre Inc,23-7251136,,,,,,,,,,1300.0,825.0,2125.0
Fairbanks Library Foundation,92-0072826,,,,,,,6650.0,5750.0,,3175.0,2850.0,18425.0
Fairbanks Rescue Mission Inc,23-7326856,,1375.0,,,13178.0,,13775.0,22925.0,18419.0,15800.0,12450.0,97922.0
Fairbanks Resource Agency,92-0035250,,,,,,,,,,1475.0,2175.0,3650.0
Fairbanks Shakespeare Theatre,94-3220888,,,,,,,,,,,650.0,650.0
Fairbanks Summer Arts Festival,92-0072423,,,,,,,,,1200.0,1350.0,1375.0,3925.0
Fairbanks Symphony Orchestra,23-7212781,,,,,,,,,,550.0,425.0,975.0
Fairbanks Tennis Association,92-0155602,,25.0,75.0,450.0,,550.0,425.0,400.0,450.0,500.0,,2875.0
Family Promise MatSu,68-0510566,,1100.0,1850.0,3675.0,4550.0,,4600.0,4975.0,3525.0,2925.0,3450.0,30650.0
Farthest North Girl Scout Council,92-0018597,,,950.0,1950.0,1625.0,3200.0,1900.0,1550.0,,975.0,1150.0,13300.0
Fellowship In Serving Humanity FISH,92-0090470,,1350.0,2375.0,4500.0,,3750.0,3450.0,5450.0,4375.0,3525.0,4450.0,33225.0
Festival Fairbanks,92-0082689,,,,,,825.0,1300.0,975.0,,175.0,175.0,3450.0
Financial Reality Foundation,47-1715028,,,,,,,,,,,150.0,150.0
First Alaskans Institute,92-0174854,,1025.0,700.0,1000.0,1576.0,1550.0,2125.0,5275.0,2925.0,2900.0,,19076.0
First City Council on Cancer,92-0161114,,1000.0,800.0,1650.0,2475.0,1975.0,1675.0,2125.0,1525.0,1625.0,975.0,15825.0
First City Homeless Services Day Shelter ,26-2565838,,,,,,2200.0,1225.0,3025.0,4025.0,2275.0,2825.0,15575.0
First City Players ,92-6004567,,475.0,,2850.0,3054.0,4125.0,2850.0,,1575.0,1300.0,,16229.0
FOCUS Inc,92-0121621,,,,,,,,,,,,
Food Bank of Alaska,92-0073175,,62275.0,30825.0,55675.0,72089.0,69323.92,94575.0,98350.0,84754.0,65873.88,60525.0,694265.8
Four Valleys Community School Inc,20-1259568,,,875.0,1725.0,2750.0,3200.0,,4250.0,3850.0,3825.0,4275.0,24750.0
Friends of Alaska CASA,92-0133200,,4850.0,2550.0,2950.0,2300.0,3900.0,5350.0,5325.0,4375.0,3325.0,3325.0,38250.0
Friends of Creamers Field,92-0137107,,,,3350.0,3600.0,,6175.0,7325.0,7019.0,5425.0,7975.0,40869.0
Friends of Jensen Olson Arboretum,27-2917330,,,,,,,,1525.0,1775.0,850.0,975.0,5125.0
Friends of Kachemak Bay State Parks,92-0167178,,,,,,,,1225.0,2300.0,1650.0,1850.0,7025.0
Friends of McNeil River,92-0149711,,775.0,1050.0,2025.0,1975.0,,2425.0,2525.0,2475.0,2150.0,2000.0,17400.0
Friends of Pets,94-3095459,,9575.0,,40075.0,53281.0,45625.0,46226.8,54700.0,44500.0,34979.0,34025.0,362986.8
Friends of Sitka National Historical Park,47-3824206,,,,,,,,,,,,
Friends of Sitka Public Library Inc,45-2520434,,,,,,,,,,,,
Friends of the Alaska State Library Archives and Museum,23-7067119,,200.0,,,,975.0,1900.0,1825.0,2075.0,1175.0,1125.0,9275.0
Friends of the Campbell Creek Science Center,20-3140552,,175.0,1075.0,1500.0,2375.0,,3450.0,4200.0,1550.0,1650.0,1675.0,17650.0
Friends of the Chugach National Forest Avalanche Information Center,68-0578518,,,,,,9483.0,12325.0,13700.0,16844.0,19050.0,19600.0,91002.0
Friends of the Haines Borough Public Library,92-0124436,,1350.0,1800.0,2300.0,1750.0,1925.0,2250.0,2725.0,,1600.0,1700.0,17400.0
Friends of the Homer Public Library,92-0092030,,475.0,675.0,1075.0,,975.0,1975.0,2575.0,2850.0,2225.0,2575.0,15400.0
Friends of the Juneau Douglas City Museum,27-0980810,,,,,,,325.0,650.0,675.0,425.0,675.0,2750.0
Friends of the Kenai Community Library,92-0133770,,,175.0,,,,,,1075.0,875.0,1075.0,3200.0
Friends of The Ketchikan Public Library,92-0116509,,,,,,700.0,825.0,875.0,1050.0,800.0,775.0,5025.0
Friends of the Palmer Public Library,92-0078565,,,,1000.0,,1450.0,1375.0,2075.0,2100.0,950.0,1550.0,10500.0
Friends of the Sutton Library,82-0153777,,,,1525.0,,,1150.0,1700.0,2247.0,2025.0,1775.0,10422.0
Friends of the Talkeetna Library,86-1076900,,,,,,4000.0,4100.0,5050.0,3225.0,3325.0,3450.0,23150.0
Friends of the Valdez Animal Shelter,92-0143923,,,,,2625.0,,2025.0,650.0,1700.0,,650.0,7650.0
Friends of Zach Gordon Youth Center Inc,92-0014675,,,,,,1725.0,1650.0,2700.0,,1850.0,1575.0,9500.0
Frontline Mission,30-0450068,,,,,,,1600.0,3553.8,,1624.0,3300.0,10077.8
Georgeson Botanical Garden Society,26-0660511,,,,4600.0,3084.0,4000.0,3350.0,,3450.0,2775.0,2525.0,23784.0
Girdwood  Fine Arts Camp,42-1614179,,225.0,,500.0,,,,,400.0,,1000.0,2125.0
Girdwood Health Clinic Inc,90-0622646,,,,,,,,,1200.0,650.0,1225.0,3075.0
Girdwood Nordic Ski Club,30-0516522,,,,,,,,,1100.0,1650.0,1625.0,4375.0
Girl Scouts of Alaska,92-6000179,,2225.0,2625.0,5500.0,7375.0,,8450.0,12050.0,8547.0,5825.0,6100.0,58697.0
Girls on the Run Southcentral Alaska,46-4140781,,,,,,,,,,,,
Glacier City Radio KEUL,61-1414155,,,,,,,,,2000.0,1600.0,1750.0,5350.0
Golden Heart Christian School,26-0790036,,,,,,,,,,,425.0,425.0
Golden Heart Community Foundation ACF,92-0155067,,,,,,,2300.0,1475.0,1850.0,925.0,600.0,7150.0
Golden Retriever Rescue of Fairbanks,92-0170780,,,,,,3425.0,,3000.0,,2725.0,2600.0,11750.0
Great Alaska Council Boy Scouts of America,92-0016314,,375.0,500.0,,4055.0,6225.0,5300.0,10675.0,9991.0,6700.0,7425.0,51246.0
Great Land Trust,92-0155014,,,,,2200.0,3075.0,5350.0,7950.0,6497.0,6925.0,6150.0,38147.0
Greater Fairbanks Community Hospital Foundation Inc,92-0035784,,1225.0,725.0,1925.0,,,1300.0,,675.0,2100.0,,7950.0
Greater Sitka Legacy Fund ACF,92-0155067,,,,,,,1500.0,1600.0,900.0,775.0,1350.0,6125.0
Green Star of Interior Alaska,92-0163048,,750.0,1300.0,1875.0,1575.0,2225.0,3100.0,3700.0,5197.0,5250.0,3700.0,28672.0
Habitat for Humanity ,92-0140434,,2075.0,9950.0,9250.0,9531.0,10800.0,14650.0,15700.0,10016.0,8543.0,7700.0,98215.0
Habitat For Humanity  MAT SU,92-0151208,,,,,,1875.0,2375.0,2200.0,2400.0,1300.0,1100.0,11250.0
Haines Animal Rescue Kennel  HARK,31-1748166,,1025.0,3750.0,3175.0,2950.0,4025.0,4375.0,4450.0,4225.0,4550.0,5325.0,37850.0
Haven House,92-0080286,,1000.0,1075.0,1450.0,3225.0,1875.0,,5700.0,6675.0,4150.0,6325.0,31475.0
Healing Hand Foundation,92-0177320,,375.0,,600.0,825.0,,,,,850.0,,2650.0
Healthy Futures,81-0649085,,,,,,825.0,2375.0,,1572.0,1800.0,1900.0,8472.0
Heart to Heart Pregnancy Resource Center,92-0174635,,,,,,,,,2150.0,2275.0,1875.0,6300.0
HeartReach Center ,92-0115423,,900.0,1600.0,,2400.0,4200.0,,,3600.0,2150.0,2825.0,17675.0
Help Me Grow Alaska a program of the All Alaska Pediatric Partnership,47-3428822,,,,,,,,,,,,
Helping Hands,92-0152121,,725.0,1225.0,1750.0,2050.0,2475.0,2525.0,2775.0,2000.0,1375.0,1650.0,18550.0
Homer Animal Friends,92-0127477,,,2475.0,2950.0,,3850.0,5825.0,6150.0,5325.0,4450.0,5975.0,37000.0
Homer Council on the Arts,51-0152554,,25.0,450.0,850.0,1250.0,1500.0,1775.0,2250.0,2325.0,1625.0,1350.0,13400.0
Homer Food Pantry,92-0153030,,,2500.0,,4853.0,4725.0,8000.0,7750.0,8022.0,8425.0,,44275.0
Homer Foundation,92-0139183,,900.0,6050.0,4800.0,5151.0,7975.0,11700.0,10725.0,8622.0,6275.0,6975.0,69173.0
Homer Hockey Association ,92-0143117,,,,,,,,,2700.0,1725.0,2425.0,6850.0
Homer Senior Citizens Inc,92-0077789,,250.0,1450.0,1375.0,1650.0,850.0,1275.0,2464.4,2104.4,1568.0,1525.0,14511.8
Homeward Bound Pet Rescue,75-3080267,,,,,4825.0,4400.0,,5125.0,,,2075.0,16425.0
Hope Community Resources,92-0036594,,1100.0,1300.0,5325.0,6304.0,11075.0,11800.0,12600.0,14193.43,10550.0,9025.0,83272.43
Hospice of Anchorage,92-0018009,,2850.0,7675.0,16550.0,20301.0,19775.0,25000.0,24075.0,16645.4,16450.0,11750.0,161071.4
Hospice of Haines,92-0163066,,,1800.0,2200.0,1800.0,2175.0,2425.0,2475.0,3100.0,2025.0,2475.0,20475.0
Hospice of Homer,92-0115943,,1125.0,1775.0,3200.0,5525.0,5150.0,7175.0,8175.0,,6375.0,6975.0,45475.0
Hospice of Kodiak,45-2208200,,,,,,,,,1700.0,900.0,1700.0,4300.0
Hospice of the Central Peninsula ,92-0118643,,600.0,1075.0,2350.0,2875.0,3825.0,4325.0,4775.0,4150.0,3293.0,3400.0,30668.0
HoWL Incorporated,27-2315974,,,,,,,1325.0,1875.0,,400.0,2925.0,6525.0
Humane Society of Kodiak,92-0148196,,1175.0,2900.0,3400.0,8075.0,10530.0,7925.0,9700.0,7822.0,5475.0,6475.0,63477.0
ICC Alaska,92-0091959,,,,,,325.0,475.0,614.4,1025.0,475.0,575.0,3489.4
Identity Inc,92-0091087,,3625.0,2425.0,6025.0,5575.0,7100.0,8675.0,8939.4,9604.4,8450.0,9425.0,69843.8
Iditarod Historic Trail Alliance,92-0165948,,,,,,,,1100.0,675.0,500.0,400.0,2675.0
Iditarod Trail Sled Dog Race,92-0043991,,600.0,,,,,2475.0,1275.0,725.0,1600.0,1425.0,8100.0
Ilisagvik College,92-0158414,,2025.0,2300.0,3575.0,5175.0,4680.0,7450.0,8525.0,7822.0,6375.0,7900.0,55827.0
Independent Living Center or ILC,92-0137389,,,,,,,575.0,850.0,925.0,,700.0,3050.0
Interior Alaska Cancer Association,68-0505547,,,,,,,,,,,1175.0,1175.0
Interior Alaska Center for Non Violent Living,92-0063639,,2050.0,3425.0,5050.0,7050.0,5350.0,7200.0,9650.0,9772.0,8400.0,8425.0,66372.0
Interior Alaska Land Trust,92-0156596,,,,,,925.0,675.0,2800.0,861.0,1675.0,2475.0,9411.0
Irish Dance Academy of Alaska ,91-1832610,,,,,,,,,,800.0,1000.0,1800.0
JDIA Juneau Douglas Ice Association,31-1625238,,,,,550.0,675.0,900.0,1325.0,1400.0,1275.0,1175.0,7300.0
Jessica Stevens Community Foundation ACF,92-0155067,,1725.0,2325.0,4000.0,4025.0,4675.0,4825.0,6150.0,4922.0,4950.0,4350.0,41947.0
